"glytoucan_ac","glycan_type","glycan_type_source","glycan_type_source_id","glycan_subtype","glycan_subtype_source","glycan_subtype_source_id"
"G82558IX","Glycosphingolipid","GlycoMotif","GGM.001109","Globo series","GlycoMotif","GGM.001109"
"G86403ZK","Glycosphingolipid","Subsumption","G79614ZW","Ganglio series","Subsumption","G79614ZW"
"G67272DI","N-linked","GlycoMotif","GGM.001002","High mannose","GlycoMotif","GGM.001002"
"G86947FH","O-linked","GlycoMotif","GGM.001009","Core 6","GlycoMotif","GGM.001015"
"G86947FH","O-linked","GlycoMotif","GGM.001009","Core 3","GlycoMotif","GGM.001009"
"G91302LT","N-linked","GlycoMotif","GGM.001004","Core-fucosylated","GlycoMotif","GGM.001024"
"G91302LT","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G24748EV","N-linked","Subsumption","G04786NB","Bisected","Subsumption","G04786NB"
"G24748EV","N-linked","Subsumption","G04786NB","Complex","Subsumption","G08298VG"
"G24748EV","N-linked","Subsumption","G04786NB","Hybrid","Subsumption","G04786NB"
"G30743FK","O-linked","GlycoMotif","GGM.001008","Core 2","GlycoMotif","GGM.001008"
"G01465MJ","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G79084MU","N-linked","GlycoMotif","GGM.001004","Core-fucosylated","GlycoMotif","GGM.001024"
"G79084MU","N-linked","GlycoMotif","GGM.001004","Complex","GlycoMotif","GGM.001004"
"G85628BP","Glycosphingolipid","GlycoMotif","GGM.001107","Neo-lacto series","GlycoMotif","GGM.001107"
"G69742YU","Glycosphingolipid","GlycoMotif","GGM.001106","Lacto series","GlycoMotif","GGM.001106"
"G23681XP","Glycosphingolipid","GlycoMotif","GGM.001106","Lacto series","GlycoMotif","GGM.001106"
"G29434SO","O-linked","GlycoMotif","GGM.001007","Core 2","GlycoMotif","GGM.001007"
